"Country.Name","Country.Code","Indicator.Name","Indicator.Code","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","Mean_Across_Years"
"Africa Eastern and Southern","AFE","GDP per capita (current US$)","NY.GDP.PCAP.CD",1736.84903789558,1725.33295941463,1554.167298753,1444.00351350532,1625.2862362582,1558.30748213078,1507.98288075295,1355.80592347323,1545.61321503478,1644.06282870117,1569.74113759196
"Africa Eastern and Southern","AFE","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Africa Eastern and Southern","AFE","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Africa Western and Central","AFW","GDP per capita (current US$)","NY.GDP.PCAP.CD",2154.15083235085,2248.31625468362,1882.26403755398,1648.76267571999,1590.27775355217,1735.37491121143,1812.44682219421,1688.07557525957,1766.94361767929,1785.31221919208,1831.19246993972
"Africa Western and Central","AFW","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Africa Western and Central","AFW","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD",7352.08571729619,7306.0511655738,6287.31493469218,6117.87150678868,6230.76207906711,6579.41710449659,6504.78963266514,5644.14257045665,6419.16102915581,7625.25246366409,6606.68482038562
"Arab World","ARB","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arab World","ARB","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caribbean small states","CSS","GDP per capita (current US$)","NY.GDP.PCAP.CD",10560.2613939468,10730.9033921609,10484.8699626065,9805.58674802275,10101.698337451,10378.9057627899,10405.8032088903,8846.49409220248,10174.3840940633,12639.7046226653,10412.8611614799
"Caribbean small states","CSS","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caribbean small states","CSS","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Europe and the Baltics","CEB","GDP per capita (current US$)","NY.GDP.PCAP.CD",13667.0354653061,14142.3187338836,12526.5930080241,12783.1808373622,14223.33867603,16078.2072646243,16349.9458268233,16297.9641005404,18814.1458170436,19420.9644088827,15430.369413852
"Central Europe and the Baltics","CEB","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Europe and the Baltics","CEB","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Early-demographic dividend","EAR","GDP per capita (current US$)","NY.GDP.PCAP.CD",3373.55810925844,3440.5542752111,3227.84555071029,3278.24180137811,3498.57567722821,3493.67856383689,3521.64420581244,3242.51508284195,3727.93383484603,4104.08594846576,3490.86330495892
"Early-demographic dividend","EAR","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Early-demographic dividend","EAR","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Asia & Pacific","EAS","GDP per capita (current US$)","NY.GDP.PCAP.CD",9468.66912326347,9695.92345829542,9586.06190605841,9856.58153923839,10454.5243261564,11312.9043635973,11484.4172716472,11487.311342401,13138.7246689239,12930.6916751374,10941.5809674719
"East Asia & Pacific","EAS","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Asia & Pacific","EAS","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Asia & Pacific (excluding high income)","EAP","GDP per capita (current US$)","NY.GDP.PCAP.CD",5881.99243142907,6292.35718335376,6500.07274972082,6592.55540801677,7151.33860752498,7944.81436789169,8172.02375582395,8262.99094618799,9813.00226050914,9954.2768572369,7656.54245676951
"East Asia & Pacific (excluding high income)","EAP","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Asia & Pacific (excluding high income)","EAP","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Asia & Pacific (IDA & IBRD countries)","TEA","GDP per capita (current US$)","NY.GDP.PCAP.CD",5948.3195380373,6363.06807096175,6572.91516798637,6666.24826218499,7231.04313773664,8033.19132537236,8262.81155944634,8354.74737133325,9922.04350030871,10065.0347477818,7741.94226811495
"East Asia & Pacific (IDA & IBRD countries)","TEA","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Asia & Pacific (IDA & IBRD countries)","TEA","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euro area","EMU","GDP per capita (current US$)","NY.GDP.PCAP.CD",39119.1156950677,39914.4243013705,34390.3487441923,35162.2283592856,37159.4090384309,40048.4581877184,39185.1397375785,38193.9579327956,42807.3365349703,41036.2333089161,38701.6651840326
"Euro area","EMU","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euro area","EMU","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe & Central Asia","ECS","GDP per capita (current US$)","NY.GDP.PCAP.CD",26100.9461445819,26348.2694899961,22588.5885741348,22411.242079689,23688.0576571875,25276.8194439604,24892.3935494921,24021.7960311523,27420.8134260688,27536.8129253482,25028.5739321611
"Europe & Central Asia","ECS","Government Effectiveness: Estimate","GE.EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe & Central Asia","ECS","Human capital index (HCI) (scale 0-1)","HD.HCI.OVRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
